scrubbed_species_binomial,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,url_source,project_pi,project_pi_contact,access,id
Bromus rubens,leaf area per leaf dry mass,43.805,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706054
Bromus rubens,leaf area per leaf dry mass,34.458,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705726
Bromus rubens,whole plant height,0.11,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372786
Bromus rubens,leaf area per leaf dry mass,41.13,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15841026
Bromus rubens,whole plant height,0.2,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372138
Bromus rubens,whole plant height,0.12,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372828
Bromus rubens,leaf area,74.1,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705842
Bromus rubens,whole plant height,0.11,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372770
Bromus rubens,leaf area per leaf dry mass,34.971,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706023
Bromus rubens,leaf area per leaf dry mass,23.221,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706067
Bromus rubens,whole plant woodiness,herbaceous,NA,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2,Zanne AE,aezanne@gmail.com,public,15809605
Bromus rubens,leaf area per leaf dry mass,29.767,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705731
Bromus rubens,leaf area,82.6,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705871
Bromus rubens,leaf area per leaf dry mass,41.872,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705739
Bromus rubens,leaf area per leaf dry mass,25.837,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706077
Bromus rubens,leaf area,22.3,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706336
Bromus rubens,whole plant height,0.2,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372795
Bromus rubens,leaf area per leaf dry mass,29.454,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705719
Bromus rubens,leaf area,138.7,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706328
Bromus rubens,whole plant height,0.14,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15373134
Bromus rubens,leaf area,148.5,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705865
Bromus rubens,leaf area,74.05,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705590
Bromus rubens,leaf area,66.1,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705845
Bromus rubens,leaf area per leaf dry mass,36.962,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706071
Bromus rubens,whole plant height,0.17,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372143
Bromus rubens,leaf area per leaf dry mass,29.359,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705738
Bromus rubens,leaf area,79.85,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706321
Bromus rubens,whole plant height,0.1,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372779
Bromus rubens,whole plant height,0.13,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372827
Bromus rubens,leaf area per leaf dry mass,21.673,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706030
Bromus rubens,leaf area,40.7,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705846
Bromus rubens,whole plant height,0.15,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372812
Bromus rubens,whole plant height,0.15,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372838
Bromus rubens,leaf area per leaf dry mass,24.476,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706075
Bromus rubens,leaf area,60.25,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706317
Bromus rubens,whole plant height,0.082,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15373143
Bromus rubens,leaf area per leaf dry mass,29.293,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706022
Bromus rubens,whole plant height,0.11,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372831
Bromus rubens,whole plant height,0.16,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372810
Bromus rubens,leaf area per leaf dry mass,24.912,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705730
Bromus rubens,leaf area,90.25,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705889
Bromus rubens,leaf area per leaf dry mass,37.518,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705724
Bromus rubens,leaf area per leaf dry mass,27.074,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706024
Bromus rubens,leaf area,40.5,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706320
Bromus rubens,leaf area,203.5,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706341
Bromus rubens,whole plant height,0.11,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372769
Bromus rubens,whole plant height,0.115,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372834
Bromus rubens,leaf area,19.1,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705858
Bromus rubens,whole plant height,0.15,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15695159
Bromus rubens,leaf area per leaf dry mass,61.538,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705723
Bromus rubens,leaf area,89.7,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705848
Bromus rubens,leaf area per leaf dry mass,37.35,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706029
Bromus rubens,whole plant height,0.17,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372773
Bromus rubens,whole plant height,0.12,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372799
Bromus rubens,leaf area per leaf dry mass,40.521,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705740
Bromus rubens,leaf area,52.5,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705886
Bromus rubens,leaf area,143.6,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705868
Bromus rubens,whole plant height,0.09,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372782
Bromus rubens,whole plant height,0.09,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372793
Bromus rubens,leaf area,87,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705602
Bromus rubens,leaf area,27,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705851
Bromus rubens,leaf area per leaf dry mass,22.471,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706047
Bromus rubens,leaf area per leaf dry mass,23.608,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706056
Bromus rubens,leaf area per leaf dry mass,40.677,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706034
Bromus rubens,leaf area per leaf dry mass,21.944,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706048
Bromus rubens,leaf area per leaf dry mass,39.044,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706027
Bromus rubens,whole plant height,0.15,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372832
Bromus rubens,leaf area,76.8,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706332
Bromus rubens,leaf area per leaf dry mass,39.893,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705743
Bromus rubens,whole plant height,0.14,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15373141
Bromus rubens,leaf area per leaf dry mass,34.014,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705734
Bromus rubens,whole plant height,0.17,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15373137
Bromus rubens,leaf area,98.75,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706325
Bromus rubens,seed mass,7.6,mg,data compilation; average of 1000 seeds,NA,NA,NA,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,public,586822
Bromus rubens,leaf area,66.4,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705888
Bromus rubens,whole plant height,0.22,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372818
Bromus rubens,leaf area per leaf dry mass,36.348,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705741
Bromus rubens,leaf area,74.7,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705840
